"","ID","CODEPER","REL","PCR24_01","PCR24_02","PCR24_03","PCR24_04","PCR24_05","PCR24_06","PCR24_07","PCR24_08","PCR24_09","PCR24_10","PCR24_11","PCR24_12","PCR24_13","PCR24_14","PCR24_15","PCR24_16","PCR24_17","PCR24_18","PCR24_19","PCR24_20","PCR24_21","SITE"
"697",600196,24,0,3,2,3,2,3,2,2,2,2,3,2,3,2,3,2,2,2,2,3,3,2,6
"698",600206,24,0,5,2,3,4,4,4,2,4,1,3,4,3,3,3,3,2,3,1,2,3,3,6
"699",600207,24,0,5,3,3,3,5,2,4,3,2,3,3,2,4,5,4,1,2,2,3,3,2,6
"700",600223,24,0,5,5,3,3,5,4,4,5,4,3,5,4,5,5,5,2,3,3,4,3,3,6
"701",600224,24,0,4,4,3,3,4,2,2,2,3,2,2,2,4,2,3,2,2,2,2,3,3,6
"702",600234,24,0,5,5,4,5,5,5,3,5,5,4,4,4,5,4,5,3,5,2,4,4,4,6
"703",600238,24,0,4,5,4,1,4,3,5,1,4,3,2,4,3,4,5,1,1,1,1,3,3,6
"704",600243,24,0,5,5,3,5,5,5,3,5,3,5,3,3,4,4,3,2,4,2,3,2,3,6
"705",600246,24,0,4,5,4,3,4,4,3,2,3,3,3,4,5,4,5,2,2,2,3,2,3,6
"706",600247,24,0,4,2,3,3,3,3,2,3,4,2,4,4,3,3,3,2,4,3,4,4,3,6
"707",600264,24,0,4,3,2,2,3,3,2,2,2,2,1,3,2,2,3,2,1,1,1,1,1,6
"708",600270,24,0,2,3,5,2,2,4,3,1,3,2,1,4,2,1,2,1,3,1,1,1,1,6
"709",600286,24,0,3,1,3,1,3,1,2,2,2,2,3,2,2,2,2,2,1,2,2,2,1,6
"710",600287,24,0,3,5,3,4,2,4,4,2,2,4,3,3,4,3,4,2,4,2,3,3,4,6
"711",600290,24,0,4,2,1,3,4,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3,6
"712",600292,24,0,5,4,3,2,5,2,3,3,3,2,4,3,3,2,3,2,3,2,2,2,3,6
"713",600293,24,0,4,5,4,4,3,4,4,5,3,4,3,4,4,3,3,3,4,2,4,3,4,6
"714",600299,24,0,5,5,5,3,5,5,2,4,4,4,4,4,3,4,3,2,3,3,2,3,3,6
"715",600300,24,0,5,5,4,2,5,5,5,5,5,4,5,5,5,5,5,3,3,4,4,4,2,6
"716",600315,24,0,3,4,1,4,3,NA,3,4,2,2,3,4,3,4,2,NA,1,2,3,2,3,6
"717",600318,24,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,6
"718",600353,24,0,5,4,3,3,5,3,2,2,3,3,4,3,3,4,5,2,3,2,2,2,2,6
"719",600355,24,0,3,4,3,1,3,1,2,3,2,2,3,2,4,2,4,2,1,1,1,1,2,6
"720",600356,24,0,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,2,1,3,2,3,6
"721",600377,24,0,4,4,4,3,2,3,3,4,4,3,4,5,4,4,4,3,3,2,3,4,4,6
"722",600386,24,0,5,3,3,1,4,1,2,4,1,1,3,1,3,4,3,3,3,2,2,1,2,6
"723",600395,24,0,3,3,3,2,2,2,2,3,2,3,2,2,3,3,3,2,2,1,2,2,2,6
"724",600422,24,0,4,4,4,5,5,4,3,5,4,4,4,3,4,5,4,3,5,4,4,4,5,6
"725",600430,24,0,4,5,4,5,4,4,5,3,3,5,5,5,5,5,5,4,5,3,5,5,5,6
"726",600439,24,0,4,3,4,3,4,3,4,4,4,3,3,3,4,4,3,2,4,2,3,3,3,6
"727",600442,24,0,5,2,3,1,4,2,4,4,3,4,3,2,3,4,3,2,2,2,3,3,2,6
"728",600453,24,0,5,3,5,4,5,5,3,3,2,3,3,3,4,5,3,3,3,2,3,4,3,6
"729",600460,24,0,3,2,3,2,2,2,3,2,2,2,3,2,4,3,3,2,2,2,2,2,2,6
"730",600464,24,0,5,5,4,3,4,4,3,4,3,3,4,4,4,3,3,2,2,2,2,2,3,6
"731",600465,24,0,4,2,3,1,4,1,2,2,2,1,4,2,3,3,2,2,2,2,2,2,1,6
"732",600467,24,0,4,3,4,4,3,5,3,3,5,4,4,5,4,3,4,2,3,2,5,4,5,6
"733",600469,24,0,5,4,4,2,5,2,3,3,1,2,3,1,4,2,4,2,2,2,4,2,2,6
"734",600471,24,0,3,4,1,3,4,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,6
"735",600475,24,0,4,4,4,3,4,3,3,3,3,4,3,3,3,3,4,3,2,3,2,2,2,6
"736",600478,24,0,3,4,3,2,3,4,3,2,2,3,4,4,3,3,4,2,2,2,2,2,2,6
"737",600484,24,0,5,5,4,5,5,5,5,5,4,4,5,4,4,4,4,3,5,2,5,4,4,6
"738",600494,24,0,5,4,2,2,4,3,2,4,2,2,3,3,2,NA,4,2,4,2,2,4,4,6
"739",600502,24,0,5,4,3,2,5,2,4,5,3,3,5,3,4,5,4,2,3,3,3,3,3,6
"740",600518,24,0,4,5,3,4,4,5,5,3,4,3,4,3,5,3,5,3,3,2,3,3,5,6
